,material_id,formula_pretty,formation_energy,third_element
259,mp-1080667,AlCo3,-0.205869547499999,Co
260,mp-1084828,La3Al,-0.2013915275,La
261,mp-1094970,Mg3Al,0.007273687499999,Mg
262,mp-1094664,MgAl,0.6022496175000001,Mg
263,mp-11220,Sc2Al,-0.350947593333333,Sc
264,mp-1183216,AlCu3,-0.1826915625,no_return
265,mp-1183188,AlTc3,-0.112510177499999,Tc
266,mp-1183223,AlAu3,-0.197910581249999,Au
267,mp-1183232,AlNi3,-0.421433699999999,Ni
268,mp-1183279,AlPb3,0.1969268475,Pb
269,mp-1183306,AlRh3,-0.472331354999999,Rh
270,mp-1184122,Dy3Al,-0.196290034999999,Dy
271,mp-1184670,Hf3Al,-0.221001815000001,Hf
272,mp-1187635,Tm3Al,-0.197983704999999,Tm
273,mp-1188018,Zr3Al,-0.2855272075,Zr
274,mp-1823,Ti3Al,-0.279156872499999,Ti
275,mp-21393,Ce3Al,-0.16436795625,Ce
276,mp-2557,Zr2Al,-0.358073766666667,Zr
277,mp-862259,Sc3Al,-0.268876513749999,Sc
278,mp-973266,Lu3Al,-0.198377041249999,Lu
279,mp-979266,Sm3Al,-0.184384634999999,Sm
280,mp-10904,AlPt,-1.042424303749999,Pt
281,mp-1490,AlAu4,-0.210942060499999,Au
282,mp-1182885,AlCu4,-0.1152589245,no_return
283,mp-27233,SrAl,-0.169321875208333,Sr
284,mp-7189,AlPd,-0.9140214899999992,Pd
285,mp-15621,AlSb,-0.138495921874999,Sb
286,mp-1008753,Ti2Al,0.5724899277777771,Ti
287,mp-1038818,MgAl,0.8880268200000001,Mg
288,mp-1018132,AlBi,0.090943279999999,Bi
289,mp-2624,AlSb,-0.25549792,Sb
290,mp-1008555,AlCu3,-0.1814938525,no_return
291,mp-1009839,TbAl,-0.391326504999999,Tb
292,mp-1038934,MgAl,0.06492299,Mg
293,mp-1022721,AlCu,-0.139366709999999,no_return
294,mp-1018101,AlCo3,-0.182936128749999,Co
295,mp-1061123,TiAl,-0.266048226666667,Ti
296,mp-10879,CeAl,-0.243864347499999,Ce
297,mp-10902,PrAl,-0.3356064525,Pr
